2025-12-22T21:54:58.817964 | RAM: 45.5/503.7GB (9.0%) | CPU: 32.25 | GPU util: 83.4% | VRAM: 98.2% | pending_eval: 1 | pending_combine: 7 | gpu_procs: 8 | eval_procs: 25
2025-12-22T21:55:58.955590 | RAM: 45.1/503.7GB (9.0%) | CPU: 28.88 | GPU util: 79.2% | VRAM: 98.2% | pending_eval: 4 | pending_combine: 0 | gpu_procs: 8 | eval_procs: 38
2025-12-22T21:56:59.118200 | RAM: 61.5/503.7GB (12.2%) | CPU: 31.71 | GPU util: 81.6% | VRAM: 98.2% | pending_eval: 6 | pending_combine: 1 | gpu_procs: 8 | eval_procs: 60
2025-12-22T21:57:59.333113 | RAM: 53.1/503.7GB (10.6%) | CPU: 32.91 | GPU util: 77.2% | VRAM: 98.2% | pending_eval: 6 | pending_combine: 6 | gpu_procs: 8 | eval_procs: 75
2025-12-22T21:58:59.510417 | RAM: 45.7/503.7GB (9.1%) | CPU: 48.48 | GPU util: 72.0% | VRAM: 98.2% | pending_eval: 8 | pending_combine: 12 | gpu_procs: 8 | eval_procs: 64
2025-12-22T21:59:59.912992 | RAM: 45.6/503.7GB (9.1%) | CPU: 39.55 | GPU util: 75.6% | VRAM: 98.2% | pending_eval: 1 | pending_combine: 0 | gpu_procs: 8 | eval_procs: 28
2025-12-22T22:01:00.061639 | RAM: 45.4/503.7GB (9.0%) | CPU: 28.66 | GPU util: 85.8% | VRAM: 98.2% | pending_eval: 2 | pending_combine: 0 | gpu_procs: 8 | eval_procs: 35
2025-12-22T22:02:00.226485 | RAM: 45.5/503.7GB (9.0%) | CPU: 27.55 | GPU util: 76.6% | VRAM: 98.2% | pending_eval: 5 | pending_combine: 1 | gpu_procs: 8 | eval_procs: 46
2025-12-22T22:03:00.434278 | RAM: 45.5/503.7GB (9.0%) | CPU: 28.43 | GPU util: 85.4% | VRAM: 98.2% | pending_eval: 3 | pending_combine: 4 | gpu_procs: 8 | eval_procs: 34
2025-12-22T22:04:00.670357 | RAM: 45.8/503.7GB (9.1%) | CPU: 26.75 | GPU util: 84.2% | VRAM: 98.2% | pending_eval: 2 | pending_combine: 6 | gpu_procs: 8 | eval_procs: 36
